"","year","month","day","carrier","origin","dest","late"
"1",2013,6,30,"VX","JFK","LAX","on time"
"2",2013,5,7,"DL","JFK","SJU","late"
"3",2013,12,8,"DL","JFK","LAX","late"
"4",2013,5,14,"DL","JFK","TPA","early"
"5",2013,7,21,"9E","LGA","ORF","early"
"6",2013,1,1,"AA","LGA","ORD","on time"
"7",2013,12,9,"WN","EWR","HOU","late"
"8",2013,8,13,"B6","JFK","IAD","late"
"9",2013,9,26,"AA","LGA","MIA","early"
"10",2013,4,30,"EV","EWR","JAX","late"
"11",2013,6,17,"B6","JFK","ROC","on time"
"12",2013,11,22,"B6","LGA","RSW","on time"
"13",2013,4,26,"EV","EWR","DAY","late"
"14",2013,3,25,"FL","LGA","ATL","late"
"15",2013,10,21,"B6","JFK","BTV","early"
"16",2013,1,23,"EV","EWR","BUF","late"
"17",2013,2,8,"EV","EWR","DCA","late"
"18",2013,8,5,"DL","JFK","FLL","early"
"19",2013,10,21,"UA","EWR","ORD","late"
"20",2013,8,18,"VX","JFK","SFO","early"
"21",2013,11,5,"EV","LGA","PIT","on time"
"22",2013,1,15,"B6","LGA","PBI","late"
"23",2013,2,1,"UA","EWR","PBI","early"
"24",2013,7,7,"B6","JFK","DEN","late"
"25",2013,1,17,"US","LGA","CLT","on time"
"26",2013,8,16,"MQ","LGA","CMH","early"
"27",2013,12,7,"US","JFK","CLT","on time"
"28",2013,4,24,"EV","EWR","BUF","late"
"29",2013,6,8,"DL","JFK","LAS","early"
"30",2013,10,8,"MQ","LGA","DTW","early"
"31",2013,11,1,"WN","LGA","BNA","early"
"32",2013,9,18,"AA","LGA","ORD","early"
"33",2013,7,5,"AA","JFK","LAX","early"
"34",2013,7,25,"MQ","EWR","ORD","on time"
"35",2013,12,24,"UA","LGA","DEN","late"
"36",2013,4,12,"B6","JFK","SJU","late"
"37",2013,5,13,"DL","LGA","DTW","early"
"38",2013,12,18,"AA","LGA","PBI","on time"
"39",2013,7,21,"9E","JFK","PHL","late"
"40",2013,8,22,"UA","JFK","LAX","early"
"41",2013,3,13,"MQ","JFK","DCA","late"
"42",2013,10,27,"EV","EWR","MKE","late"
"43",2013,3,21,"WN","LGA","BNA","late"
"44",2013,11,27,"B6","JFK","JAX","late"
"45",2013,11,4,"AA","LGA","DFW","late"
"46",2013,1,8,"B6","JFK","BTV","early"
"47",2013,9,9,"UA","EWR","SNA","early"
"48",2013,3,27,"DL","JFK","LAX","early"
"49",2013,3,5,"B6","JFK","CLT","late"
"50",2013,12,26,"MQ","LGA","CLE","early"
"51",2013,12,9,"DL","LGA","MCO","on time"
"52",2013,11,8,"UA","EWR","TPA","late"
"53",2013,4,24,"UA","EWR","LAS","early"
"54",2013,11,30,"B6","JFK","HOU","early"
"55",2013,9,28,"MQ","JFK","DCA","early"
"56",2013,7,1,"AA","LGA","ORD","late"
"57",2013,9,29,"MQ","EWR","ORD","early"
"58",2013,4,15,"AA","LGA","ORD","early"
"59",2013,7,21,"US","EWR","CLT","early"
"60",2013,10,30,"EV","EWR","DTW","on time"
"61",2013,2,6,"MQ","LGA","DTW","on time"
"62",2013,8,11,"UA","EWR","BQN","late"
"63",2013,6,20,"B6","JFK","ABQ","on time"
"64",2013,5,26,"B6","JFK","BUF","early"
"65",2013,9,8,"UA","EWR","CLE","on time"
"66",2013,10,2,"B6","JFK","BUF","early"
"67",2013,7,26,"MQ","LGA","ATL","late"
"68",2013,5,25,"MQ","LGA","ATL","early"
"69",2013,12,6,"US","LGA","BOS","late"
"70",2013,8,7,"UA","LGA","IAH","early"
"71",2013,3,25,"AA","LGA","DFW","early"
"72",2013,7,10,"US","LGA","BOS","early"
"73",2013,11,24,"EV","EWR","CLE","early"
"74",2013,11,20,"EV","EWR","OMA","early"
"75",2013,11,13,"9E","LGA","SYR","early"
"76",2013,12,3,"MQ","JFK","DCA","early"
"77",2013,1,15,"AA","JFK","EGE","late"
"78",2013,8,28,"DL","LGA","MCO","late"
"79",2013,4,8,"B6","EWR","MCO","on time"
"80",2013,7,8,"B6","EWR","MCO","late"
"81",2013,1,1,"EV","EWR","PWM","early"
"82",2013,11,4,"EV","EWR","IAD","early"
"83",2013,5,6,"9E","EWR","DTW","early"
"84",2013,2,11,"B6","JFK","AUS","late"
"85",2013,10,21,"UA","EWR","CLE","early"
"86",2013,7,1,"AA","JFK","STT","early"
"87",2013,9,9,"B6","JFK","MSY","early"
"88",2013,9,28,"AA","LGA","MIA","late"
"89",2013,7,29,"EV","EWR","ATL","on time"
"90",2013,4,6,"EV","EWR","DCA","early"
"91",2013,4,21,"9E","EWR","CVG","early"
